artist_raw,primary_artist,songs,plays
"""Weird Al"" Yankovic","""Weird Al"" Yankovic",11,190
"""Weird Al"" Yankovic & Mike Kieffer","""Weird Al"" Yankovic & Mike Kieffer",1,10
.EEhou,.EEhou,3,310
113,113,1,151
2 Chainz,2 Chainz,1,8
24kGoldn,24kGoldn,1,66
"2Pac, Roger Troutman & Dr. Dre","2Pac, Roger Troutman & Dr. Dre",1,12
30 Seconds To Mars,30 Seconds To Mars,1,16
4 Non Blondes,4 Non Blondes,1,17
442oons,442oons,13,898
4t thieves,4t thieves,1,27
50 Cent,50 Cent,5,81
50 cent & Benny Bennassi,50 cent & Benny Bennassi,1,64
80s,80s,1,24
90sFlav,90sFlav,1,19
94Proof,94Proof,1,44
A Flock of Seagulls,A Flock of Seagulls,1,5
A$AP Rocky,A$AP Rocky,1,29
A.Dd+,A.Dd+,1,77
A1st,A1st,1,106
ABBA,ABBA,13,1044
AC/DC,AC/DC,1,13
AC/dB,AC/dB,2,26
ACDC,ACDC,1,31
ACRAZE,ACRAZE,1,19
ADAMSKI,ADAMSKI,1,44
ADELE,ADELE,1,19
AIR (Band),AIR (Band),11,657
ALTÉGO & Ely Oaks & LAVINIA,ALTÉGO & Ely Oaks & LAVINIA,1,96
ATC,ATC,1,73
Aaron Carter,Aaron Carter,1,15
Aaron Smith,Aaron Smith,1,85
Ace of Base,Ace of Base,2,79
Action Branson,Action Branson,1,48
Action Bronson,Action Bronson,1,59
Actress,Actress,1,9
Adam K,Adam K,1,107
Aden Foyer,Aden Foyer,1,97
Aerosmith,Aerosmith,5,124
AfX,AfX,1,15
Afrojack,Afrojack,1,44
Afrojack & Steve Aoki,Afrojack,1,17
Afroman,Afroman,1,19
After The Fire,After The Fire,1,21
Air Supply,Air Supply,1,298
Akina Nakamori,Akina Nakamori,1,57
Akon,Akon,2,106
Al Corley,Al Corley,1,41
Al Stewart,Al Stewart,1,108
Alain Bashung,Alain Bashung,3,198
Alain Souchon,Alain Souchon,7,510
Alan Braxe & Fred Falke,Alan Braxe & Fred Falke,3,319
Alan Walker,Alan Walker,1,146
Alanis Morissette,Alanis Morissette,3,164
Alesso,Alesso,1,34
Alexander Rybak,Alexander Rybak,1,38
Alexandra Stan,Alexandra Stan,1,46
Alfie Templeman,Alfie Templeman,1,77
Alice Deejay,Alice Deejay,1,65
Alizée,Alizée,2,72
Alkalino & Bon Entendeur,Alkalino & Bon Entendeur,1,81
All Hail the Silence and Lifelike,All Hail the Silence,1,277
Allure,Allure,1,37
Almost Monday,Almost Monday,1,53
Alpharock,Alpharock,1,21
Alphaville,Alphaville,2,110
AlunaGeorge and DJ Snake,AlunaGeorge,1,32
Ambassador,Ambassador,1,27
Amel Bent,Amel Bent,1,35
America,America,1,49
American Dad Cast,American Dad Cast,1,25
American Heroes,American Heroes,1,10
Amerie,Amerie,1,26
Amersy,Amersy,1,36
Amine Edge & Dance,Amine Edge & Dance,1,20
Aminé,Aminé,1,63
Amy Macdonald,Amy Macdonald,1,11
Amy Winehouse,Amy Winehouse,3,238
AnTgry,AnTgry,1,77
Andy Grammer,Andy Grammer,2,67
Angèle,Angèle,2,108
Animal Kingdom,Animal Kingdom,1,15
Animotion,Animotion,1,87
Anita Ward,Anita Ward,1,28
Anri & Night Tempo,Anri,3,497
Anri,Anri,4,307
Anri & MACROSS 82-99,Anri,1,207
Antoine Mahe,Antoine Mahe,1,22
Anyma & Chris Avantgarde & Massano,Anyma & Chris Avantgarde & Massano,1,37
Aphex Twin,Aphex Twin,1,39
Aqua,Aqua,1,21
Arcade Fire,Arcade Fire,1,75
Aretha Franklin,Aretha Franklin,1,51
Ariana Grande,Ariana Grande,5,299
Aritus,Aritus,2,76
Armand Van Helden,Armand Van Helden,1,85
Armin van Buuren,Armin van Buuren,3,323
Arnaud Fleurent-Didier,Arnaud Fleurent-Didier,1,28
Arnold Schoenberg,Arnold Schoenberg,1,4
AronChupa,AronChupa,1,58
Arvo Part,Arvo Part,1,3
Asa,Asa,1,23
Asaf Avidan,Asaf Avidan,1,85
Ashlee Simpson,Ashlee Simpson,1,21
Asia,Asia,1,15
Astro,Astro,1,19
Aterciopelados,Aterciopelados,1,37
Augie Rios,Augie Rios,1,64
Aurora,Aurora,1,23
Austenyo,Austenyo,1,52
Austin Millz,Austin Millz,1,20
Ava Max,Ava Max,3,421
Avenged Sevenfold,Avenged Sevenfold,2,45
Avicii,Avicii,6,319
Avicii & Nicky Romero,Avicii,2,105
