primary_artist,country,songs,plays
Daft Punk,FR,96,4114
Bon Entendeur,FR,27,3387
Joe Dassin,FR,24,3230
Chicago,US,20,3150
Dua Lipa,GB,21,2203
Coldplay,GB,30,1993
Polo & Pan,FR,17,1836
Baddiel Skinner,GB,3,1589
Supertramp,GB,7,1180
Jacques Brel,FR,11,1148
Renaud,FR,19,1122
PNL,FR,16,1085
Justice,FR,22,1081
ABBA,SE,13,1044
Anri,JP,8,1011
Charles Aznavour,FR,10,1002
Lifelike,FR,8,996
Tatsuro Yamashita,JP,9,980
Serge Gainsbourg,FR,18,957
442oons,GB,13,898
Beach Boys,US,9,898
MIKA,GB,12,891
David Guetta,FR,23,862
The Weeknd,CA,8,816
Queen,GB,11,809
Synapson,FR,16,802
Calvin Harris,GB,11,793
Rucka Rucka Ali,US,34,793
Gigamesh,US,8,787
Pink Floyd,GB,25,727
Maroon 5,US,12,673
AIR (Band),FR,11,657
Calogero,FR,6,656
Eric Prydz,SE,3,632
L'Impératrice,FR,7,629
The Beatles,GB,21,626
Modern Talking,DE,7,615
Kungs,FR,5,609
Drake,CA,11,569
Johnny Cash,US,8,569
Visitor,AU,2,552
Tame Impala,AU,6,550
Electric Light Orchestra,GB,4,526
Avicii,SE,10,525
Blondie,US,7,518
Madonna,US,21,512
Phil Collins,GB,8,512
Alain Souchon,FR,7,510
Simon,,6,510
Benjamin Bellman,FR,33,503
Vantage,JP,6,503
Bee Gees,GB,5,498
LaLa Land Cast,US,4,491
Saint Pepsi,US,5,491
Kendrick Lamar,US,5,489
Therapie Taxi,FR,4,489
Disney,US,9,486
Shakira,CO,8,465
Guts,FR,5,458
Billy Joel,US,7,455
Yung Bae,US,4,453
Clean Bandit,GB,3,424
Ava Max,US,3,421
Vegedream,FR,3,414
The Chainsmokers,US,5,408
Rita Ora,GB,3,407
Horalion,FR,2,402
Purple Disco Machine,DE,4,397
Last Dinosaurs,AU,5,387
Blue Oyster Cult,US,4,386
KC & The Sunshine Band,US,6,381
Odezenne,FR,8,381
Britney Spears,US,13,374
Cheb Khaled,FR,3,370
Taylor Swift,US,3,363
Velvet Underground,US,2,362
Eric Carmen,US,2,359
France Gall,FR,7,359
George Brassens,FR,7,359
Die Woodys,DE,2,349
Patrick Cowley,US,2,349
Kylie Minogue,AU,5,346
Videoclub,FR,3,342
Doja Cat,US,5,340
Francoise Hardy,FR,5,338
Childhood,FR,1,334
Pitbull,US,8,334
Lost Frequencies  & Kungs,,1,330
Desired,RU,4,329
Boney M.,DE,5,326
Armin van Buuren,NL,3,323
MACROSS 82-99,MX,3,321
Supermode,SE,1,320
Alan Braxe & Fred Falke,FR,3,319
Mattyeux,FR,1,317
Frankie Valli & The Four Seasons,US,4,316
Marina Kaye,FR,2,314
Regard,XK,2,311
.EEhou,RU,3,310
Tiesto,NL,4,304
Tony Igy,RU,3,304
Claude François,FR,4,303
Ottowan,FR,3,302
Mere Notilde,US,2,301
Lost Frequencies  & Janieck Devy,,2,300
Ariana Grande,US,5,299
French 79,FR,1,299
Hot Chocolate,GB,2,299
Air Supply,AU,1,298
Daddy Yankee,US,3,294
Iam Groupe,FR,2,290
Jean Ferrat,FR,5,289
Sacha Distel,FR,1,289
Stromae,FR,5,289
Michael Jackson,US,11,288
Cassius,FR,5,287
Kanye West,US,9,286
Stefie Shock,CA,2,284
Dim Zach,GR,1,283
Hall & Oates,US,5,282
The Avener & M.I.L.K.,FR,1,281
Chromeo,CA,8,278
All Hail the Silence,,1,277
Green Day,US,7,277
Gipsy Kings,FR,5,273
Linkin Park,US,10,273
Bakermat,NL,7,272
Poolside,US,3,271
Eminem,US,9,269
Post Malone,US,4,269
Matchbox Twenty,US,3,266
DEEJMD,GR,1,265
Dayglow,US,4,264
Simple Plan,CA,6,264
Harry Belafonte,US,2,262
Demon,FR,1,259
Empire of the Sun,AU,3,259
Journey,US,6,259
Kool & the Gang,US,5,259
Michael Bublé,CA,4,256
Daft Punk (Thomas Bangalter & DJ Falcon as Together),FR,1,255
Imagine Dragons,US,5,255
Francis Cabrel,FR,6,254
Tal (artist),FR,1,253
Dead or Alive,GB,3,252
Dansu,NL,3,251
Fleetwood Mac,GB,4,251
Miki Matsubara,JP,2,251
Gilbert Bécaud,FR,2,248
Kali Uchis,CO,3,248
Daniel Balavoine,FR,4,247
nawhij,KR,6,245
Pakito,FR,4,244
Manu Chao,FR,5,243
Superbus,FR,7,243
Gesaffelstein,FR,9,239
Amy Winehouse,GB,3,238
Flight Facilities,AU,7,238
Benny Benassi,IT,9,236
La Compagnie Creole,FR,2,235
Satoshi Kon,JP,1,235
The 5th Dimension,US,1,235
The Strokes,US,2,235
The Superman Lovers,FR,1,235
Boy Pablo,CL,3,234
Sade,GB,3,234
Trans-X,CA,2,234
Red Hot Chili Pepper,US,3,232
Cour De Recré,FR,1,230
Lil Dicky,US,5,229
Toshiki Kadomatsu,JP,3,228
Matthew Wilder,US,1,227
The Rolling Stones,GB,2,227
Parov Stelar,AT,5,226
Pony Pony Run Run,FR,2,224
Wax Audio,US,2,224
Benjamin Belllman,FR,5,223
The Cyrkle,US,1,221
The Lonely Island,US,9,221
"DJ Alex Man, PHURS, Andreea Flavia",RO,1,220
Robyn,SE,2,219
Flovry & Tender Spring,NO,2,218
Conan Gray,US,2,217
David Bowie,GB,7,217
Sting,GB,3,214
Bénabar,FR,5,212
Image (Band),DE,1,211
Wünsche,SE,2,211
Cigarettes After Sex,US,2,210
DJ Mehdi,FR,2,210
Engelbert Humperdinck,GB,2,209
Paradis,FR,2,209
Thomas Bangalter & Dj Falcon,FR,4,209
Paul Johnson,US,1,208
DJ Antoine,CH,2,207
Gilbert O'Sullivan,IE,1,206
Lomtre,DK,2,206
The Foundations,GB,1,206
Cerrone,FR,2,203
Moby,US,3,203
Royksopp,NO,2,202
Train,US,4,202
Kid Francescoli,FR,2,201
Phantoms,US,1,200
Julien Clerc,FR,1,199
Alain Bashung,FR,3,198
Tryo,FR,6,198
Benjamin Biolay,FR,2,196
Lou Reed,US,2,196
Moondough,US,1,196
Rudolph,US,2,196
Dropkick Murphys,US,2,195
Pet Shop Boys,GB,1,195
Fake Blood,GB,1,194
Mika,GB,2,194
S. Kiyotaka & Omega Tribe,JP,1,194
Fall Out Boy,US,12,193
Night Tempo,KR,2,192
Sage the Gemini,US,2,192
Disclosure,GB,8,191
Magic System,FR,3,191
Weezer,US,2,191
"""Weird Al"" Yankovic",,11,190
George Moir,US,1,190
Le Maitre,NO,4,189
Senor Stereo,US,1,189
Will Smith,US,6,189
Harry Nillson,US,2,188
OneRepublic,US,6,188
Lady Gaga,US,3,187
Bealby Point,CA,1,186
Tom Lehrer,US,3,186
Cold(Artist),US,2,184
Epic Rap Battles of History,US,11,184
Linda Scott,US,1,181
Vansire,US,2,181
"Maes, Ninho",FR,1,180
Gryffin,US,1,179
Clara Luciani,FR,2,178
Lady GaGa,US,4,178
CASCADA,DE,4,177
Randy Bachman,CA,1,177
Selena Gomez,US,3,176
Van She,AU,3,176
Badfinger,GB,2,175
Beastie Boys,US,2,175
FIFTY FIFTY (피프티피프티),KR,1,175
Your Favorite Martian,US,13,174
Blur,GB,3,173
David Cassidy,US,1,173
F.R. David,FR,3,173
Mr. Oizo,FR,4,173
Rolling Stones,GB,4,173
Black Eyed Peas,US,7,172
Ricky Martin,US,3,172
Riton & Kah-Lo & Empire of the Sun,NG,1,172
Toto,US,3,172
Jean-Pierre Mader,FR,1,170
Michel Sardou,FR,2,170
Family Guy,US,1,168
Global Deejays,AT,3,168
Gorillaz,GB,6,168
Michel Delpech,FR,2,168
The Glitch Mob,US,4,168
Madcon,NO,3,167
Fatboy Slim,GB,3,166
Lana Del Rey,US,5,165
Noah Chenfeld,US,2,165
Susumu Hirasawa,JP,1,165
Swivel Hips,DE,1,165
Alanis Morissette,CA,3,164
John Sebastian,US,1,164
Mr.Vtage,US,1,164
The Offspring,US,3,164
U2,IE,5,164
James Blunt,GB,5,163
PNAU,AU,1,163
Smash Mouth,US,3,163
Tove Lo,SE,2,163
The Cure,GB,6,162
"Elton John, Dua Lipa",,1,161
Got Jax,US,1,160
Nino Ferrer,FR,4,160
J-Five,US,1,159
The Jackson 5,US,3,159
Barbara,FR,2,157
Kate Bush,GB,2,157
Masayoshi Takanaka,JP,1,157
Os Tincoas,BR,2,157
Take That,GB,2,157
Utah Saints,GB,1,157
Feder,FR,2,156
Gunther & Samantha Fox,SE,1,156
Isabelle Pierre,FR,2,156
Jean Jacques Goldman,FR,3,156
Meiko Nakahara,JP,4,156
Lighthouse Family,GB,2,154
Nu (band),DE,2,153
Trois Cafés Gourmands,FR,1,153
Vince Dicola,US,1,153
Brigitte Bardot,FR,3,152
Duck Sauce,CA,6,152
Flume,AU,4,152
The Pointer Sisters,US,2,152
113,FR,1,151
Frank Sinatra,US,8,151
Gabrielle,GB,2,151
MGMT,US,4,151
Mitiko & Bon Entendeur,FR,1,151
OutKast,US,2,151
Savant,NO,1,151
COEO,DE,1,150
L'Algerino,FR,1,150
Swedish House Mafia,SE,5,149
Mattafix,GB,1,148
Cevin Fisher,US,1,147
Alan Walker,NO,1,146
Booba,FR,4,146
Bryce Vine,US,1,146
M.A.G.S,US,1,146
Poom,FR,2,146
Fifty Fifty,KR,1,145
Fiji Blue,US,1,145
Ginger Root,US,3,145
Renan Luce,FR,2,145
Richy Sheehy,,1,145
Macklemore,US,4,144
