year_added,primary_artist,songs,plays
2026,Supermode,1,319
2026,Cour De Recré,1,230
2026,Calvin Harris,1,206
2026,Susumu Hirasawa,1,165
2026,DIVA FAUNE,1,125
2026,Surf Mesa,1,97
2026,ZZ Top,1,82
2026,Alfie Templeman,1,77
2026,The Jimi Hendrix Experience,1,77
2026,Cassius,1,58
2026,Sam Cooke,1,56
2026,Polo & Pan et Metronomy,1,55
2026,Metronomy,1,45
2026,France Football Anthem,1,36
2026,Daddy DJ,1,33
2026,Schnuffel,1,28
2026,The Doors,1,23
2026,Tomoko Aran,1,17
2026,Bill Withers,1,16
2026,Boys Town Gang,1,15
2026,Donna Summer,1,14
2026,Norman Greenbaum,1,13
2026,The Whispers,1,13
2026,Crazy Town,1,11
2026,Nihonzera,1,10
2026,Daft Punk,1,8
2026,"Jonas Blue, Malive",1,8
2026,Disclosure,1,7
2026,Weiss,1,7
2026,Maya,1,6
2026,Huey Lewis & The News,1,4
2026,The Strumbellas,1,2
2026,Laufey,1,1
2026,Luther Vandross,1,0
2025,Horalion,2,402
2025,Taylor Swift,2,344
2025,Bon Entendeur,2,328
2025,Mattyeux,1,317
2025,French 79,1,299
2025,Satoshi Kon,1,235
2025,"DJ Alex Man, PHURS, Andreea Flavia",1,220
2025,Claude François,2,209
2025,Moby,3,203
2025,George Moir,1,190
2025,Linda Scott,1,181
2025,Marina Kaye,1,180
2025,Lighthouse Family,2,154
2025,Blur,2,144
2025,Fleetwood Mac,1,140
2025,"Claude François, Frédérique",1,137
2025,SXCREDMANE,1,137
2025,Visitor,1,134
2025,Vianney,1,113
2025,France Gall,1,104
2025,Real California Milk,1,101
2025,Liz Callaway,1,98
2025,ALTÉGO & Ely Oaks & LAVINIA,1,96
2025,The Kid Laroi & Justin Bieber,1,90
2025,Myles Smith,2,81
2025,T.A.T.U,1,78
2025,Tatsuro Yamashita,1,78
2025,Dynoro & Mike Demero,1,71
2025,Melanie Martinez,1,65
2025,Tom Misch,1,65
2025,Red Hot Chili Pepper,1,64
2025,De Soffer & Les Bisous,1,63
2025,Marlena Shaw,1,63
2025,Jordan Clarke,1,61
2025,Kraftwerk,1,60
2025,Van She,1,59
2025,Squid Game,1,56
2025,Janet Jackson,1,55
2025,Christophe,1,54
2025,Metronomy,1,54
2025,Robson Jorge & Lincoln Olivetti,1,54
2025,Mike Newman,1,52
2025,Superbus,1,51
2025,Homi & Jarvis,1,50
2025,Tame Impala,1,48
2025,Moonlight,1,47
2025,"Rema, Selena Gomez",1,46
2025,The Whispers,1,45
2025,Erika,1,42
2025,Joyce Jonathan,1,42
2025,Yves (artist),1,42
2025,W&W,1,41
2025,JuL,1,40
2025,Siedah Garrett,1,40
2025,Channel Tres,1,39
2025,Josiane,1,39
2025,David Bowie,1,36
2025,Labi Siffre,1,35
2025,Bingo Players,1,34
2025,Disney,1,34
2025,Videoclub,1,34
2025,Rob Zombie,1,33
2025,Take That,1,33
2025,Gracie Abrams,1,31
2025,Josh Fudge,1,31
2025,Sombr,1,31
2025,Elvis Presley,1,30
2025,"GEE LEE, Riton",1,30
2025,VITAA,1,29
2025,Anita Ward,1,28
2025,Dion,1,28
