artist,country
.EEhou,RU
1900-04-22 00:00:00,FR
2 Chainz,US
24kGoldn,US
"2Pac, Roger Troutman & Dr. Dre",US
30 Seconds To Mars,US
4 Non Blondes,US
442oons,GB
4t thieves,GB
50 Cent,US
50 cent & Benny Bennassi,IT
80s,US
90sFlav,US
94Proof,US
A Flock of Seagulls,GB
A$AP Rocky,FR
A.Dd+,US
A1st,FR
ABBA,SE
AC/DC,AU
AC/dB,AU
ACDC,AU
ACRAZE,US
ADAMSKI,GB
ADELE,GB
AIR (Band),FR
ALTÉGO & Ely Oaks & LAVINIA,GB
ATC,DE
Aaron Carter,US
Aaron Smith,FR
Ace of Base,SE
Action Branson,US
Action Bronson,US
Actress,GB
Adam K,CA
Aden Foyer,NO
Aerosmith,US
AfX,GB
Afrojack,NL
Afrojack & Steve Aoki,NL
Afroman,US
After The Fire,GB
Air Supply,AU
Akina Nakamori,JP
Akon,US
Al Corley,US
Al Stewart,GB
Alain Bashung,FR
Alain Souchon,FR
Alan Braxe & Fred Falke,FR
Alan Walker,NO
Alanis Morissette,CA
Alesso,SE
Alexander Rybak,BY
Alexandra Stan,RO
Alfie Templeman,GB
Alice Deejay,NL
Alizée,FR
Alkalino & Bon Entendeur,FR
All Hail the Silence and Lifelike,FR
Allure,FR
Almost Monday,US
Alpharock,NL
Alphaville,DE
AlunaGeorge and DJ Snake,FR
Ambassador,US
Amel Bent,FR
America,US
American Dad Cast,US
American Heroes,US
Amerie,FR
Amersy,NL
Amine Edge & Dance,FR
Aminé,US
Amy Macdonald,GB
Amy Winehouse,GB
AnTgry,FR
Andy Grammer,US
Angèle,FR
Animal Kingdom,GB
Animotion,US
Anita Ward,US
Anri,JP
Anri & MACROSS 82-99,JP
Anri & Night Tempo,JP
Antoine Mahe,FR
Anyma & Chris Avantgarde & Massano,DE
Aphex Twin,GB
Aqua,DK
Arcade Fire,CA
Aretha Franklin,US
Ariana Grande,US
Aritus,US
Armand Van Helden,US
Armin van Buuren,NL
Arnaud Fleurent-Didier,FR
Arnold Schoenberg,DE
AronChupa,SE
Arvo Part,EE
Asa,FR
Asaf Avidan,IL
Ashlee Simpson,US
Asia,GB
Astro,CL
Aterciopelados,CO
Augie Rios,MX
Aurora,NO
Austenyo,US
Austin Millz,US
Ava Max,US
Avenged Sevenfold,US
Avicii,SE
Avicii & Nicky Romero,NL
Avicii & Rick Astley,US
Avicii & Sebastien Drums & Cassius,FR
Avril Lavigne,CA
Awolnation,US
Axel Bauer,FR
Axelle Red & Renaud,FR
Axwell,SE
Aya Nakamura,FR
Azealia Banks,US
B.o.B,US
BB Brunes,FR
BBC Music,GB
BBMak,GB
BJ Thomas,US
BLC TV,FR
BTS,KR
Babe & Night Tempo,KR
Baby Bash x WKND,DE
Baby Queen,ZA
Baccara,ES
Backstreet Boys,US
Bad Bunny & Jhay Cortez,US
Bad Musician,US
BadBadNotGood,CA
Bada-Bing,GB
Baddiel Skinner,GB
Badfinger,GB
Bag Raiders,AU
Bakermat,NL
Bambee,NO
Bananarama,GB
Band Aid,GB
Barbara,FR
Barenaked Ladies,CA
Barney Stinson,US
Barry Blue,GB
Barry Manilow,US
Basshunter,SE
Bassnectar,US
Bastille,GB
Bay City Rollers,GB
Beach Boys,US
Beach House,US
Bealby Point,CA
Bearson & Lemaitre,NO
Beastie Boys,US
Beastie Boys & Fatboy Slim,US
BeatFreakz,NL
BeatauCue,FR
Beau-J & Furia,US
Bebe Rexha,US
Beck,US
Bee Gees,GB
Beethoven,DE
Bella Poarch,US
Belle Epoque,FR
Benjamin Belllman,FR
Benjamin Bellman,FR
Benjamin Biolay,FR
Benjamin Diamond,FR
Bennett & Bruno Coulais,FR
Benny Benassi,IT
Benny Benassi & The Biz,IT
Benson Boone,US
Berlioz,ZA
Beverlay,CA
Beyonce,US
Beyoncé,US
Beyoncé & Shakira,US
Bibi Flash,FR
"Big Ali, Bob Sinclar & Dollar Man",FR
Big Baby D.R.A.M,US
Bigflo & Oli & Julien Dorée,FR
Biggie and Viceroy Jet Life,US
Biggie vs MGMT,FR
Bill Haley,US
Bill Withers,US
Billie Eilish,US
Billy Idol,GB
Billy Joel,US
Billy Walker,US
Bingo Players,NL
Birdy Nam Nam,FR
Black (Artist),GB
Black Eyed Peas,US
Black Eyed Peas & Justin Timberlake,US
Blackguyrandy,JP
Blackpink,KR
Bleu Toucan,FR
Blink-182,US
Blondie,US
Bloodhound Gang,US
Bloody Beetroots,IT
Blue Oyster Cult,US
Blue Rain Boots,US
Blue Swede,SE
Blues Brothers,US
Blues Trottoir,FR
Blur,GB
Bob Dylan,US
Bob Marley,JM
Bob Sinclar,FR
Bob Sinclar & Gary Pine,FR
Bob Sinclar & The Sugar Hill Gang,FR
Bob sinclar & Rafaella Carra,FR
Bobby Bare,US
Bobby Bloom,US
Bobby Caldwell,US
Bon Entendeur,FR
Bon Entendeur & Crazy P,FR
Bon Entendeur & Darondo,FR
Bon Entendeur & Emma Peters,FR
Bon Entendeur & France Gal,FR
Bon Entendeur & Frederic Beigbeder,FR
Bon Entendeur & Jane Birkin,FR
Bon Entendeur & Jeanne Mas,FR
Bon Entendeur & Marie Laforêt,FR
Bon Entendeur & Moulidgi,FR
Bon Entendeur & Nino Ferrer,FR
Bon Entendeur & Pierre Niney,FR
Bon Entendeur & Syreeta,FR
Bon Entendeur & Xinobi,FR
Bon Entendeur vs Tina Charles,FR
Bon Jovi,US
Boney M.,DE
Bonga & Synapson,FR
Bonnie Tyler,GB
Bonobo,GB
Booba,FR
Boom Box,PT
Booty Full,FR
Borgore,IL
Boris Vian,FR
Boston,US
Boy George And Culture Club,GB
Boy Meets Girl,US
Boy Pablo,CL
Boys Town Gang,US
BradBroooks,US
Branbal & Home,US
Bread & Butter,JP
Breakbot,FR
Breaking Benjamin,GB
Brice De Nice,FR
Brigitte Bardot,FR
Brillion,NL
Britney Spears,US
Britney Spears & Junkie XL,NL
Britney Spears & Will.i.am,US
Brockbeats,JP
Brodinsky,FR
Bronski Beat,GB
Bruno Mars,US
Bryan Adams,CA
Bryce Vine,US
Buddy Holly,US
Buggles,GB
Bullet for My Valentine,GB
Busta Rhymes,US
Busted,GB
BØRNS,US
BØRNS & Sapientdreams,US
Bénabar,FR
C+C Music Factory,US
C2C,FR
C2C & Vitalic,FR
CASCADA,DE
CBMN,FR
COEO,DE
CTID,NO
Caesars,SE
Cali,FR
Calogero,FR
Calvin Harris,GB
Calvin Harris & Dua Lipa,GB
Calvin Harris & John Newman,GB
Camellia,JP
Camila Cabello,US
Camille,FR
Candid,CA
Cannons,US
Capital Cities,US
Caravan Palace,FR
Cardigans,SE
Carl Carlton,US
Carl Douglas,JM
Carla Bruni,FR
Cartoon Network,US
Cascada,DE
Cass Elliot,US
Cassius,FR
Cassius & Horalion,FR
Castlecomer,AU
Cavi,UA
Cazzette,SE
Cee Lo Green,GB
Cerrone,FR
Cerrone & Purple Disco Machine,FR
Ceruleancerise,CA
Cesaria Evora,SR
Cevin Fisher,US
Chamillionaire,US
Chamillionaire & Krayzie Bone,US
Chance The Rapper,US
Channel Tres,US
Chappell Roan,US
Charles Aznavour,FR
Charles Trenet,FR
Charli XCX,GB
Charlie Faron,FR
Charlie Puth,US
Charlotte Cardin,CA
Cheb Khaled,FR
Cheb Khaled feat Pitbull,DZ
Cheb Mami & Sting,FR
Chemical Brothers & Daft Punk,FR
Cher Lloyd,GB
Cherie,FR
Cherokee,FR
Cherub,US
Chet Baker,US
Chet Faker and Kaytranada,AU
Chic (Band),US
Chicago,US
Chief Keef,US
Childhood,FR
Childish Gambino,US
Children of Zeal,US
Chinese Man,FR
Chloe Lilac,US
Choices,FR
Chris Brown,US
Chris Isaak,US
Chris Manias & Daft Punk,FR
Chris Norman & Suzi Quatro,GB
Chris Webby,US
Christian Gaubert,FR
"Christina Aguilera, Lil'Kim, Mya & P!nk",US
Christophe,FR
Christophe Maé,FR
Christophe Willem,FR
Chromatics,US
Chromeo,CA
Chuck Berry,US
Chumbawamba,GB
Cigarettes After Sex,US
